Name,group,L-Proline,L-Leucine,Uric acid,cis-Aconitic acid,"D-Glucurono-6,3-lactone",Isocitric acid,Gluconic acid,Glycerylphosphorylethanolamine,Pantothenic acid,Cytidine,"7,8-Dihydroneopterin",5-Aminoimidazole ribonucleotide,Phytosphingosine,Biocytin,IDP,"PC(14:0/20:3(5Z,8Z,11Z))"
AV_447,1,0.776010097,0.615928697,33.54697534,23.70167156,1.5669123,617.4304615,2.882055579,0.139388769,0.479199708,0.179416612,0.830994571,0.15222013,0.528596429,0.086411658,5.074706812,0.050128076
AV_448,1,0.78600287,0.738093717,18.03896737,27.45376844,1.404030792,583.0996896,2.723604863,0.197881204,0.579858107,0.251217266,0.986793769,0.141753936,0.596622866,0.037051409,5.129479744,0.057875872
AV_449,1,1.215197417,0.996632098,24.12808958,25.22843595,1.336997722,597.3750038,2.673319742,0.319497948,0.330420513,0.22568464,0.995536565,0.151336406,0.578780365,0.046442811,6.963300406,0.070439345
AV_455,1,0.970367621,0.988711474,14.8709052,27.63645021,1.608303006,599.93265,5.294249602,0.491993578,0.355005004,0.286373414,0.979615762,0.2727856,0.644704537,0.016852226,4.337672164,0.074146915
AV_456,1,1.113308389,1.129430707,18.25319543,35.31581262,1.490867233,552.8401726,3.003341656,0.414533761,0.828525356,0.339467371,0.976371812,0.333530839,0.741752102,0.032651597,5.830847353,0.065626166
AV_457,1,0.87950887,0.934930735,20.79942641,34.77110417,1.412516152,609.5329808,3.095192861,0.402225996,0.54263823,0.218959428,0.946692596,0.242635385,0.7726685,0.075427209,6.033475167,0.54993013
AV_458,1,1.124955611,1.073741657,22.82332071,39.22832627,2.042903126,611.3152022,2.78007279,0.468660626,0.624212164,0.322043082,0.98716572,0.337123021,0.860043852,0.074105819,5.731272814,0.072590293
AV_295,2,0.383381649,0.579543801,41.24817351,0.330118087,14.90035622,22.05407239,5.869368417,0.418700234,1.294918176,0.42399803,0.863289203,1.45348765,0.416912654,0.388775223,0.336414769,6.718405511
AV_301,2,0.583983509,0.691464283,17.23697642,0.234121179,15.46926179,12.29660955,7.034303622,0.630009271,2.000608157,0.560130501,0.900332236,2.008568488,0.610865223,0.514068976,0.631292954,1.238389848
AV_302,2,0.600294309,0.666189047,32.67784125,0.307186271,6.193690436,20.02546804,4.839662095,0.515935589,1.332182179,0.176247589,0.94703175,1.200217761,0.557595086,0.336315812,0.330009581,0.93744822
AV_306,2,0.883533374,0.809899061,37.41387453,0.366702471,3.888592862,24.66152111,4.875614494,0.682673819,1.395803757,0.269939049,0.862735026,1.188443824,0.621376768,0.393223541,0.335982191,0.835403191
AV_309,2,0.471949455,0.505071124,39.7324309,0.499375684,1.122118808,27.65692236,6.101068455,0.329877472,0.806985453,0.258040018,0.874176443,0.890483092,0.52578775,0.379962479,0.185934362,0.666022079
